Ugasan,63008033,5,170
Ugbo,63002050,2,41
Ugoban,166817023,2,1501
Ugong,137403029,lone,373
Ugong,137504030,2 LD,375
Ugong Norte,137404126,6 LD,1185
Ugpay,124710036,3,976
Ugpong,71229026,3,802
Ugsod,60403029,lone,148
Uguis,12814011,2nd,1024
Ula,112402129,3 LD,500
Ulab,104309012,2,586
Ulaliman,104307018,2,396
Ulame,150702059,lone,405
Ulamian,124705034,1,782
Ulango,43405059,2nd,388
Ulango,41031049,3rd,430
Ulanin-Pitak,34912019,4th,657
Ulat,42118048,5th,1443
Ulay,184624015,1st,1611
Ulayan,63013072,3,306
Ulay-Bugang,63002051,2,41
Ulay-Hinablan,63002052,2,41
Ulbujan,71210034,1,296
Ulbujan East,71222028,3,566
Ulbujan West,71222029,3,566
Uli,15519018,1st,487
Uling,72234028,2,978
Ulingao,31422034,3rd,1343
Ulitan,150711012,lone,1601
Uma del Norte (Western Luna Uma),143206009,Lone,815
Umagos,104313010,1,726
Umalag,166816018,1,1328
Umalbong,142709011,Lone,620
Umanday,15515024,2nd,242
Umando,15524075,3rd,888
Umangan,34901042,1st,36
Umangan,15527082,2nd,913
Umangay,156611029,1,1108
Umapad,72230027,6,857
Umbay,166818020,1,1503
Umilag,142705020,Lone,737
Umilig,67901040,lone,239
Umingan,63002053,2,41
Umiray,45617019,1st,574
Umiray (Malamig),37705013,lone,515
Umnap,140115012,Lone,890
Umpucan,31419037,3rd,1276
Umus Mataha,157003012,lone,924
Unaban,166818021,1,1503
Unag,21504047,3rd,55
Unang Sigaw,137404127,6 LD,1185
Unas-unas,157006037,lone,1468
Unat,60406034,lone,628
Unda Dayawan,153618088,1,943
Ungab,34906051,1st,468
Ungale,87806016,lone,703
Ungap,153812051,1,1478
Ungib,15537021,6th,1342
Ungka,63022187,lone,661
Ungka I,63036018,2,1111
Ungka II,63036019,2,1111
Ungos,45638013,1st,1195
Ungot,36916093,2nd,433
Ungus-ungus,157002043,lone,224
Ungus-ungus,157011016,lone,1437
Unib,25012018,lone,1367
Unidad,166801023,2,168
Unidad,166804011,1,287
Unidos,60414020,lone,996
Unidos,104212032,1,1148
Unidos,72242014,5,1267
Unidos,166818022,1,1503
Union,112401024,1,156
Union,23106024,1st,271
Union,87804015,lone,289
Union,23108071,3rd,393
Union,21511029,2nd,442
Union,166707028,1,483
Union,23113024,2nd,562
Union,60610019,lone,758
Union,166812017,2,796
Union,166813013,1,855
Union,118207021,1,984
Union,60414021,lone,996
Union,72242015,5,1267
Union,166725013,2,1497
Union,71246052,2,1599
Union Kalinga,23116019,3rd,827
United Bayanihan,43425018,1st,420
United Better Living,43425019,1st,420
Untaga,71202015,3,37
Unzad,15547021,5th,1621
U-og,71224052,2,638
Upa,41018017,3rd,945
Upi,23113025,2nd,562
Upig,31419036,3rd,1276
Upli,42101022,7th,33
Upo (Lanao),128005017,lone,879
Upon,12819024,2nd,1138
Upper Atok (Coliman),148103017,Lone,556
Upper Ba바s,150703025,lone,741
Upper Baguer (Baguer),124711002,1,1123
Upper Bala,112407020,1,865
Upper Bangad,143215020,Lone,1557
Upper Bato-bato,150708008,lone,16
Upper Bautista,104213023,1,1411
Upper Becerril,72212007,2,229
Upper Biangan,128007029,lone,899
Upper Bicutan,137607015,2 LD,1508
Upper Binuang,156613060,1,1516
Upper Cabangcalan,76103017,lone,764
Upper Caningag (Taguitingan),103511019,2,865
Upper Dapitan,104206015,1,449
Upper de la Paz,71216014,1,459
Upper Dilag,153833008,2,1075
Upper Dioyo,104206016,1,449
Upper Garlayan,150704021,lone,900
Upper Glad I,124709053,1,969
Upper Glad II,124709054,1,969
Upper Hinaplanon,103504047,lone,632
Upper Hiraan,83715040,2,335
Upper Idtig,153823004,2,1055
Upper Igabay,153639015,2,698
Upper Itil,153602043,2,117
Upper Jasaan (Pob.),104311014,2,663
Upper Kamuntayan,156613055,1,1516
Upper Katungal,126511020,1,426
Upper Klinan,126312022,1,1154
Upper Labas,124709055,1,969
Upper Labay,126303031,1,575
Upper Lasangan,153819022,2,578
Upper Laus,156613056,1,1516
Upper Libas,166725014,2,1497
Upper Licanan,112315039,2,414
Upper Limonzo,112411016,1,1045
Upper Lubo,143214008,Lone,1534
Upper Lumabat,128007030,lone,899
Upper Maculan,126319018,2,729
Upper Mainit,128007031,lone,899
Upper Malinao,112411017,1,1045
Upper Malubog,104318013,2,920
Upper Manggas,150703017,lone,741
Upper Maton,148106021,Lone,1172
Upper Mingading,124717019,1,32
Upper Natimao-an,72215020,5,363
Upper Pangangkalan,124711028,1,1123
Upper Patag,166722013,2,1457
Upper Patibulan,156607029,2,1032
Upper Poblacion,72236013,3,1131
Upper Potongan,104206017,1,449
Upper Pugaan,153624095,1,521
Upper Salimpono,104206018,1,449
Upper San Agustin,13307038,2nd,189
Upper Sepaka,126313031,2,1484
Upper Siling,153803054,2,251
Upper Sinangkapan,150708009,lone,16
Upper Sinumaan,156613057,1,1516
Upper Sogod,83715041,2,335
Upper Suyan,128006012,lone,887
Upper Talacogon,104316008,2,818
Upper Talipao,156613058,1,1516
Upper Taloctoc,143214013,Lone,1534
Upper Tambaking,156605027,1,877
Upper Taviran,153814019,1,684
Upper Tibanban,112506019,2,592
Upper Tumapoc,13308012,2nd,261
Upper Ulip,118207020,1,984
Upper Uma,143206007,Lone,815
Upper Usogan,104203031,2,225
Up-uplas,13319019,1st,1472
Ura,37703010,lone,506
Urayong,13307039,2nd,189
Urayong,13309017,2nd,270
Urbiztondo,166706013,2,441
Urbiztondo,13316042,1st,1304
Urdaneta,137602030,2 LD,366
Urdaneta,42112013,7th,859
Urdaneta,175215034,1st,1615
Urduja Pob. (Bgy. 9),160202089,1,268
Urzadan,12932008,2nd,1486
Usmad,72205046,2,74
Uso,12932009,2nd,1486
Usocan,104212033,1,1148
Usol,23115043,4th,671
Uson,87804016,lone,289
Uson,50501056,1,89
Ususan,137607016,2 LD,1508
Utan,21503027,2nd,43
Utod,41019047,1st,1011
Utod,184522020,4th,1177
Utol,12804015,1st,152
Uvoy (Pob.),20904004,lone,873
Uwisan,43405060,2nd,388
Uyaan Proper (Pob.),153614027,2,853
Uyao,175212018,2nd,1216
Uyawan,83715042,2,335
Uyong,15521010,2nd,719
V. F. Gustilo,184504015,2nd,283
Vacante,15504022,5th,26
Vacante,15510019,5th,192
Vacante,15512026,5th,206
Vacunero,12928038,1st,1393
Valaga,71231023,3,840
Valbuena (Pob.),12819025,2nd,1138
Valdeconcha,104304008,1,212
Valdefuente,34903082,3rd,272
Valderama,60606046,lone,465
Valdez,12811018,2nd,155
Valdez,35406033,2nd,557
Valdez (Biding),12813011,2nd,931
Valdez Pob. (Caoayan),12805018,2nd,379
Valencia,72203009,2,31
Valencia,184604036,2nd,114
Valencia,168502012,lone,286
Valencia,72214010,1,357
Valencia,45647065,1st,434
Valencia,166812018,2,796
Valencia,63030120,1,972
Valencia,137404128,6 LD,1185
Valenciano (Pob.),12811021,2nd,155
Valentin Grasparil (Bad-as),60616003,lone,1431
Valentina,160303049,1,550
Valentina,160304015,2,747
Valenzuela,137602031,2 LD,366
Valenzuela (Pob.),34928020,3rd,1387
Valeriana,34932030,1st,1631
Valladolid,72214011,1,357
Valladolid,71229027,3,802
Valle,34930057,1st,1513
Valle Cruz,34903083,3rd,272
Vallehermoso,71212026,3,338
Vargas,36915024,1st,1369
Vasra,137404129,6 LD,1185
Vega,34902029,3rd,222
Vegaflor,45622086,4th,807
Velasco,63027030,5,769
Velasco,140124011,Lone,1546
Ventenilla,36910035,1st,1087
Ventinilla (Ventinilla East),15538028,3rd,1355
Ventura,104213024,1,1411
Venturanza,60403030,lone,148
Ver (Naglayaan),12809019,2nd,517
Verdu,160301025,1,382
Verga바,45622087,4th,807
Vergara,137401026,lone,368
Veronica,45622088,4th,807
Veronica,12816035,2nd,1094
Veteranos,83702048,1,21
Veterans,126313032,2,1484
Veterans Village,63022188,lone,661
Veterans Village,137404130,6 LD,1185
Vi바s,45607089,4th,301
Viado,15524076,3rd,888
Vibora Pob. (Bgy. 6),42108008,6th,399
Vical,12925035,2nd,1371
Vicente Hizon Sr.,112402198,3 LD,500
Victoria,25701015,lone,8
Victoria,23101033,3rd,38
Victoria,23103030,2nd,84
Victoria,15503037,1st,376
Victoria,12808024,2nd,467
Victoria,71222030,3,566
Victoria,34915023,2nd,798
Victoria,23119015,2nd,898
Victoria,104209047,1,1041
Victoria,175212019,2nd,1216
Victoria,175109021,lone,1221
Victoria,175912012,lone,1246
Victoria,72243027,4,1271
Victoria,23129014,4th,1282
Victoria,23132033,3rd,1321
Victoria,15542020,1st,1470
Victoria,45646045,4th,1502
Victoria,166818023,1,1503
Victoria,63046048,1,1584
Victoria (Pob.),13310040,1st,828
Victoria Reyes,42106081,4th,394
Victoria Village,141102115,Lone,111
Victorias,63018044,4,538
Victory,23102058,3rd,60
Victory,83705017,1,88
Victory,15514030,1st,218
Victory,101310014,2,740
Victory,160211012,2,1578
Victory (Pob.),83701063,5,5
Victory (Pob.),87804017,lone,289
Victory Island,82609057,lone,586
Victory Norte,23135035,4th,421
Victory Sur,23135036,4th,421
Viente Reales,137504031,2 LD,375
View Point,142701024,Lone,145
Viga,15501018,1st,9
Viga,23102059,3rd,60
Viga,71204021,1,66
Viga,15519019,1st,487
Viga,21517026,2nd,754
Viga,87807018,lone,939
Vigan,82607026,lone,526
Vigo,175104008,lone,813
Vigo Central,45644022,3rd,1330
Vijandre District (Pob.),34903084,3rd,272
Vila,13313034,2nd,1212
Villa,36909038,1st,982
Villa,21525012,1st,1389
Villa Aglipay,36918013,2nd,1297
Villa Agullana,25704034,lone,854
Villa Angeles (Pob.),30810027,2nd,1039
Villa Anita,63022189,lone,661
Villa Anunciado,71218017,2,478
Villa Arcaya,45619049,4th,606
Villa Aurin (Pinagsama),45644023,3rd,1330
Villa Aurora,71208016,3,203
Villa Aurora,45605038,3rd,241
Villa Aurora,83710071,2,256
Villa Aurora,71217015,2,473
Villa Aurora,25006018,lone,504
Villa Aurora,45622089,4th,807
Villa Aurora,37707038,lone,934
Villa Aurora (Canoc-oc),71204022,1,66
Villa Bacolor,36916098,2nd,433
Villa Batabat,45605039,3rd,241
Villa Belen,45637021,4th,1184
Villa Bello,23115044,4th,671
Villa Beltran,23124018,4th,1191
Villa Boado,34931030,2nd,1521
Villa Bota,45619050,4th,606
Villa Bulusan,23123019,2nd,1187
Villa Campo,23112062,4th,545
Villa Caneja,87808019,lone,1016
Villa Carmen,23124019,4th,1191
Villa Celestial,175207018,2nd,919
Villa Cerveza,175215035,1st,1615
Villa Cielo,21508024,1st,244
Villa Coloma (Pob.),25003015,lone,105
Villa Concepcion,23108072,3rd,393
Villa Concepcion,23126026,2nd,1215
Villa Consuelo,87808020,lone,1016
Villa Corazon,83710072,2,256
Villa Cornejo (Looc),87806019,lone,703
Villa Crespo,60612030,lone,1077
Villa Cruz,60612031,lone,1077
Villa Cruz,23132036,3rd,1321
Villa Cuizon,34917040,2nd,1419
Villa Domingo,23102060,3rd,60
Villa Ecleo,168501027,lone,176
Villa Elio,60612009,lone,1077
Villa Enage (Baras),87802011,lone,205
Villa Esperanza,45602015,4th,17
Villa Espina,45622090,4th,807
Villa Felipa,104317022,1,869
Villa Fermin,23112063,4th,545
Villa Florentino,25006019,lone,504
Villa Flores,60612032,lone,1077
Villa Flores,25012012,lone,1367
Villa Floresca,34926040,2nd,1300
Villa Francia,45637022,4th,1184
Villa Fuerte,45619051,4th,606
Villa Fugu,23103031,2nd,84
Villa Gamiao (Buyon),23132038,3rd,1321
Villa Garcia,12924047,2nd,1359
Villa Garcia,71240022,3,1438
Villa Geda,45622092,4th,807
Villa Gomez,45637023,4th,1184
Villa Gonzaga,23135012,4th,421
Villa Gracia,21508030,1st,244
Villa Gracia,25704028,lone,854
Villa Hermosa,45622091,4th,807
Villa Hermosa,12924048,2nd,1359
Villa Hermosa Norte,25704030,lone,854
Villa Hermosa Sur,25704029,lone,854
Villa Hiwasayan,45618054,4th,599
Villa Ibaba,45603042,4th,82
Villa Ilaya,45603043,4th,82
Villa Imelda (Maplas),23114056,1st,631
Villa Isla,34917036,2nd,1419
Villa Jesus Este,45602016,4th,17
Villa Jesus Weste,45602017,4th,17
Villa Jose V Ylanan,25704037,lone,854
Villa Joson (Parilla),34926016,2nd,1300
Villa Kananga,160202090,1,268
Villa Labrador,34923033,2nd,1200
Villa Laida,21528030,3rd,1573
Villa Laua-an,60612033,lone,1077
Villa Laurencia,12924049,2nd,1359
Villa Leonora,21508031,1st,244
Villa Libertad,175312015,1st,546
Villa Luna,23108073,3rd,393
Villa Luz,23118027,1st,502
Villa M. Principe,45619055,4th,606
Villa Mag-aso,83708095,5,381
Villa Magat,23132037,3rd,1321
Villa Magsaysay,83705018,1,88
Villa Magsaysay,45605040,3rd,241
Villa Magsino,45607087,4th,301
Villa Marcos,23124020,4th,1191
Villa Maria (Aetas),35415035,2nd,1159
Villa Maria Clara,137404131,6 LD,1185
Villa Marina,34926042,2nd,1300
Villa Mendez (Pob.),174004038,lone,979
Villa Mendoza,45619052,4th,606
Villa Mercedes,45637024,4th,1184
Villa Mercedes,140123006,Lone,1341
Villa Miguel (Ugak),23123020,2nd,1187
Villa Milagrosa,71235022,2,1163
Villa Nati,34917037,2nd,1419
Villa Nava,45619059,4th,606
Villa Nogales,43416042,4th,228
Villa Norte,45602018,4th,17
Villa Nuesa,23103020,2nd,84
Villa Ofelia-Caridad,34903085,3rd,272
Villa Padua,45619053,4th,606
Villa Pagaduan,25701016,lone,8
Villa Pag-Asa,175202014,2nd,157
Villa Pani-an,63019016,5,553
Villa Pantinople,168501028,lone,176
Villa Paraiso,34923034,2nd,1200
Villa Pascua,25703030,lone,505
Villa Patria,83710073,2,256
Villa Paz,175312016,1st,546
Villa Paz,36906048,2nd,579
Villa Paz,160304008,2,747
Villa Paz,23120024,2nd,1004
Villa Paz,50505024,3,677
Villa Pe바 (Capellangan),25702013,lone,275
Villa Pereda,23118028,1st,502
Villa Perez,45619054,4th,606
Villa Petrona,50507049,3,780
Villa Quirino,12918010,2nd,1261
Villa Remedios,23128021,3rd,1275
Villa Rey,23112064,4th,545
Villa Rey (San Gaspar*),21520014,2nd,1119
Villa Reyes,45644024,3rd,1330
Villa Reyno,21520020,2nd,1119
Villa Robles,23121013,1st,1060
Villa Rosario,34931029,2nd,1521
Villa Rosas (Cabang),83710074,2,256
Villa Rose,23128022,3rd,1275
Villa Sal,60612034,lone,1077
Villa Salomon,60612035,lone,1077
Villa San Isidro,45607088,4th,301
Villa Sanchez,23128023,3rd,1275
Villa Santiago,25701017,lone,8
Villa Santos,34917038,2nd,1419
Villa Solidaridad,83708090,5,381
Villa Suerte,71208017,3,203
Villa Ta바da,45619056,4th,606
Villa Teresita,23128024,3rd,1275
Villa Teresita,71246054,2,1599
Villa Undayon,160301050,1,382
Villa Ventura,25701025,lone,8
Villa Verde,103504048,lone,632
